nome_marca;descricao_situacao;descricao_natureza;nome_titular
Ventine;Pedidodefinitivamentearquivado;DeProduto;VALMORBELTRAME
Ventine;Pedidodefinitivamentearquivado;DeProduto;VALMORBELTRAME
Ventine;Pedidodefinitivamentearquivado;DeProduto;VALMORBELTRAME
FARÓTTI;Registrodemarcaemvigor;DeServiço;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeServiço;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeServiço;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeProduto;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeProduto;CEREAISFAROTTILTDA
FARÓTTI;Registrodemarcaemvigor;DeProduto;CEREAISFAROTTILTDA
CongregaçãodePazeTransformação;Pedidodefinitivamentearquivado;Coletiva;MICHELEDEOLIVEIRAMARTINI
OBAGOURMET;Registrodemarcaemvigor;DeServiço;GRUPOFARTURADEHORTIFRUTS/A
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
MasterchefeBolo;Registrodemarcaemvigor;DeServiço;JJPRADOCONSULTORIAME
NotsoTrash;Pedidodefinitivamentearquivado;Certific.;NOTSOTRASH
Shadowplay;Pedidodefinitivamentearquivado;DeProduto;ROGERIAROSAXERXENEVSKY-ME
Shadowplay;Pedidodefinitivamentearquivado;DeProduto;ROGERIAROSAXERXENEVSKY-ME
Shadowplay;Pedidodefinitivamentearquivado;DeProduto;ROGERIAROSAXERXENEVSKY-ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
FORTISMACHINE;Pedidodefinitivamentearquivado;DeProduto;FLIGHTCOMERCIOECONFECÇÃODEART.DOVESTUÁRIOLTDA.ME
